"time (UTC)","airtemp_avg (degC)","qc_airtemp_avg","baro_pressure (hPa)","qc_baro_pressure","rh (%)","qc_rh","rain (in)","qc_rain","winddir (deg from)","qc_winddir","windspeed_avg (m/s)","qc_windspeed_avg","windspeed_max (m/s)","qc_windspeed_max","land par_avg (μmol of photons m-2 s-1)","qc_par_avg","underwater lower_par (μmol of photons m-2 s-1)","qc_lower_par","underwater upper_par (μmol of photons m-2 s-1)","qc_upper_par","co2_avg (ppm)","qc_co2_avg","h2o_avg (mmol/mol)","qc_h2o_avg"
"2025-05-01 00:10:00.000","10.59000015258789","0","1021.7020263671875","0","80.5","0","0.0","0","29.739999771118164","0","1.8389999866485596","0","2.2660000324249268","0","835.0","0","25.43000030517578","0","0.0","0","420.8999938964844","0","9.5","0"
"2025-05-01 00:15:00.000","10.399999618530273","0","1021.7000122070312","0","81.19999694824219","0","0.0","0","27.959999084472656","0","1.6460000276565552","0","2.065999984741211","0","854.0","0","74.43000030517578","0","0.0","0","420.20001220703125","0","9.470000267028809","0"
"2025-05-01 00:20:00.000","10.350000381469727","0","1021.6300048828125","0","81.80000305175781","0","0.0","0","11.140000343322754","0","1.569000005722046","0","1.965999960899353","0","897.0","0","31.809999465942383","0","0.0","0","420.1000061035156","0","9.5","0"
"2025-05-01 00:25:00.000","10.550000190734863","0","1021.56298828125","0","81.0999984741211","0","0.0","0","12.4399995803833","0","1.3630000352859497","0","1.7990000247955322","0","814.0","0","5.980000019073486","0","0.0","0","420.29998779296875","0","9.479999542236328","0"
"2025-05-01 00:30:00.000","10.699999809265137","0","1021.5","0","81.0","0","0.0","0","9.550000190734863","0","1.3890000581741333","0","1.6660000085830688","0","788.5","0","25.43000030517578","0","0.0","0","420.29998779296875","0","9.550000190734863","0"
"2025-05-01 00:35:00.000","10.829999923706055","0","1021.43798828125","0","80.5","0","0.0","0","14.34000015258789","0","1.7059999704360962","0","2.2660000324249268","0","763.0999755859375","0","23.450000762939453","0","0.0","0","420.3999938964844","0","9.630000114440918","0"
"2025-05-01 00:40:00.000","10.649999618530273","0","1021.4000244140625","0","80.5999984741211","0","0.0","0","17.6299991607666","0","2.243000030517578","0","2.499000072479248","0","748.7999877929688","0","39.52000045776367","0","0.0","0","420.20001220703125","0","9.489999771118164","0"
"2025-05-01 00:45:00.000","10.649999618530273","0","1021.4000244140625","0","79.62999725341797","0","0.0","0","14.720000267028809","0","2.127000093460083","0","2.3989999294281006","0","705.0999755859375","0","30.049999237060547","0","0.0","0","419.79998779296875","0","9.279999732971191","0"
"2025-05-01 00:50:00.000","10.8100004196167","0","1021.4000244140625","0","78.5999984741211","0","0.0","0","16.25","0","1.652999997138977","0","2.1659998893737793","0","692.0","0","32.209999084472656","0","0.0","0","426.8999938964844","0","9.319999694824219","0"
"2025-05-01 00:55:00.000","10.979999542236328","0","1021.4000244140625","0","77.05999755859375","0","0.0","0","17.040000915527344","0","1.5230000019073486","0","2.631999969482422","0","641.0999755859375","0","9.979999542236328","0","0.0","0","428.8999938964844","0","9.140000343322754","0"
"2025-05-01 01:00:00.000","10.84000015258789","0","1021.302978515625","0","78.87000274658203","0","0.0","0","32.599998474121094","0","2.2639999389648438","0","2.7320001125335693","0","344.70001220703125","0","50.52000045776367","0","0.0","0","421.79998779296875","0","9.350000381469727","0"
"2025-05-01 01:05:00.000","10.630000114440918","0","1021.3569946289062","0","80.4000015258789","0","0.0","0","22.0","0","1.909000039100647","0","2.3320000171661377","0","432.3999938964844","0","17.510000228881836","0","0.0","0","420.70001220703125","0","9.680000305175781","0"
"2025-05-01 01:10:00.000","10.399999618530273","0","1021.3519897460938","0","79.0","0","0.0","0","7.4019999504089355","0","2.200000047683716","0","3.131999969482422","0","375.5","0","40.349998474121094","0","0.0","0","419.70001220703125","0","9.069999694824219","0"
"2025-05-01 01:15:00.000","10.510000228881836","0","1021.2999877929688","0","79.19000244140625","0","0.0","0","4.189000129699707","0","2.73799991607666","0","3.3989999294281006","0","228.10000610351562","0","27.25","0","0.0","0","420.1000061035156","0","9.180000305175781","0"
"2025-05-01 01:20:00.000","10.5","0","1021.2999877929688","0","80.30000305175781","0","0.0","0","17.290000915527344","0","2.8369998931884766","0","3.631999969482422","0","188.89999389648438","0","52.959999084472656","0","0.0","0","420.0","0","9.380000114440918","0"
"2025-05-01 01:25:00.000","10.359999656677246","0","1021.3499755859375","0","81.9000015258789","0","0.0","0","33.18000030517578","0","2.3499999046325684","0","3.065000057220459","0","181.39999389648438","0","65.9000015258789","0","0.0","0","420.20001220703125","0","9.569999694824219","0"
"2025-05-01 01:30:00.000","10.300000190734863","0","1021.4000244140625","0","82.4000015258789","0","0.0","0","38.130001068115234","0","1.5479999780654907","0","1.9989999532699585","0","173.89999389648438","0","16.719999313354492","0","0.0","0","420.3999938964844","0","9.710000038146973","0"
"2025-05-01 01:35:00.000","10.199999809265137","0","1021.4000244140625","0","82.80000305175781","0","0.0","0","25.110000610351562","0","1.2319999933242798","0","1.8990000486373901","0","170.6999969482422","0","5.435999870300293","0","0.0","0","420.20001220703125","0","9.59000015258789","0"
"2025-05-01 01:40:00.000","10.25","0","1021.4000244140625","0","82.9000015258789","0","0.0","0","4.418000221252441","0","0.5979999899864197","0","1.5329999923706055","0","170.1999969482422","0","11.819999694824219","0","0.0","0","420.0","0","9.600000381469727","0"
"2025-05-01 01:45:00.000","10.270000457763672","0","1021.4000244140625","0","83.0","0","0.0","0","27.6299991607666","0","1.5889999866485596","0","2.0329999923706055","0","168.5","0","82.5","0","0.0","0","420.0","0","9.6899995803833","0"
"2025-05-01 01:50:00.000","10.289999961853027","0","1021.3729858398438","0","82.4000015258789","0","0.0","0","349.70001220703125","0","0.8100000023841858","0","1.7660000324249268","0","163.39999389648438","0","99.80000305175781","0","0.0","0","419.5","0","9.470000267028809","0"
"2025-05-01 01:55:00.000","10.460000038146973","0","1021.2999877929688","0","81.9000015258789","0","0.0","0","314.6000061035156","0","0.4959999918937683","0","1.2330000400543213","0","155.1999969482422","0","11.239999771118164","0","0.0","0","419.5","0","9.460000038146973","0"
"2025-05-01 02:00:00.000","10.6899995803833","0","1021.2999877929688","0","79.79000091552734","0","0.0","0","336.29998779296875","0","0.5389999747276306","0","2.0329999923706055","0","146.10000610351562","0","47.02000045776367","0","0.0","0","418.8999938964844","0","9.220000267028809","0"
"2025-05-01 02:05:00.000","11.149999618530273","0","1021.2050170898438","0","75.7699966430664","0","0.0","0","350.6000061035156","0","0.8040000200271606","0","2.365999937057495","0","136.39999389648438","0","28.399999618530273","0","0.0","0","419.0","0","8.90999984741211","0"
