"time (UTC)","temperature","qc_temperature","ph","qc_ph"
"2025-05-24 00:01:22.000","11.935394287109375","0","-9999.0","1"
"2025-05-24 00:16:22.000","12.143890380859375","0","7.134099960327148","0"
"2025-05-24 00:31:22.000","12.380889892578125","0","-9999.0","1"
"2025-05-24 00:46:22.000","12.403472900390625","0","-9999.0","1"
"2025-05-24 01:01:22.000","12.403472900390625","0","-9999.0","1"
"2025-05-24 01:16:22.000","12.27362060546875","0","-9999.0","1"
"2025-05-24 01:31:22.000","12.183349609375","0","8.104393005371094","0"
"2025-05-24 01:46:22.000","12.24542236328125","0","-9999.0","1"
"2025-05-24 02:01:22.000","12.27362060546875","0","8.204201698303223","0"
"2025-05-24 02:16:22.000","12.04241943359375","0","9.950154304504395","12"
"2025-05-24 02:31:22.000","12.048065185546875","0","8.168685913085938","8"
"2025-05-24 02:46:22.000","11.609100341796875","0","8.16486644744873","0"
"2025-05-24 03:01:22.000","11.4012451171875","0","8.058732032775879","0"
"2025-05-24 03:16:22.000","11.26092529296875","0","8.095417022705078","0"
"2025-05-24 03:31:22.000","11.075897216796875","0","8.070059776306152","0"
"2025-05-24 03:46:22.000","112.4739990234375","12","8.039963722229004","0"
"2025-05-24 04:46:22.000","10.052764892578125","8","7.893502235412598","0"
"2025-05-24 05:01:22.000","10.108551025390625","0","7.868434906005859","0"
"2025-05-24 05:16:22.000","10.108551025390625","0","7.843073844909668","0"
"2025-05-24 05:31:22.000","10.052764892578125","0","7.869964599609375","0"
"2025-05-24 05:46:22.000","9.918914794921875","0","7.860666275024414","0"
"2025-05-24 06:01:22.000","9.902191162109375","0","7.803773403167725","0"
"2025-05-24 06:16:22.000","-9999.0","1","-9999.0","1"
"2025-05-24 07:46:22.000","10.024871826171875","0","7.840343952178955","0"
"2025-05-24 08:01:22.000","10.18109130859375","0","7.853335380554199","0"
"2025-05-24 08:16:22.000","10.186676025390625","0","7.913758754730225","0"
"2025-05-24 08:31:22.000","10.18109130859375","0","7.886984348297119","0"
"2025-05-24 08:46:22.000","10.14202880859375","0","7.8706865310668945","0"
"2025-05-24 09:01:22.000","10.14202880859375","0","7.866946697235107","0"
"2025-05-24 09:16:22.000","10.136444091796875","0","7.8926682472229","0"
"2025-05-24 09:31:22.000","10.3150634765625","0","-9999.0","1"
"2025-05-24 11:01:22.000","10.04718017578125","0","7.791058540344238","0"
"2025-05-24 11:16:22.000","10.052764892578125","0","7.97481107711792","0"
"2025-05-24 11:31:22.000","10.097381591796875","0","8.110434532165527","0"
"2025-05-24 11:46:22.000","10.097381591796875","0","7.721407890319824","0"
"2025-05-24 12:01:22.000","10.125274658203125","0","7.80420446395874","0"
"2025-05-24 12:16:22.000","10.10296630859375","0","7.852692604064941","0"
"2025-05-24 12:31:22.000","-9999.0","1","-9999.0","1"
