"time (UTC)","chlorophyll (μg/L)","qc_chlorophyll","phycoerythrin (ppb)","qc_phycoerythrin","cdom (ppb)","qc_cdom"
"2025-05-01 00:05:02.722","0.847000002861023","0","-0.12780000269412994","2","65.06500244140625","0"
"2025-05-01 00:10:03.261","0.9075000286102295","0","0.2556000053882599","0","48.22999954223633","8"
"2025-05-01 00:15:02.591","1.2462999820709229","0","-0.12780000269412994","2","39.130001068115234","8"
"2025-05-01 00:20:03.320","0.738099992275238","0","0.04259999841451645","0","49.595001220703125","0"
"2025-05-01 00:25:02.632","0.8590999841690063","0","0.0","0","43.224998474121094","8"
"2025-05-01 00:30:01.912","0.7501999735832214","0","0.0","0","29.302000045776367","8"
"2025-05-01 00:35:02.312","0.9316999912261963","0","0.0851999968290329","0","68.06800079345703","0"
"2025-05-01 00:40:01.882","0.9075000286102295","0","-0.04259999841451645","2","48.04800033569336","8"
"2025-05-01 00:45:03.360","2.383699893951416","0","-0.04259999841451645","2","29.1200008392334","8"
"2025-05-01 00:50:02.782","1.0163999795913696","0","-0.04259999841451645","2","22.56800079345703","0"
"2025-05-01 00:55:02.172","1.3068000078201294","0","-0.0851999968290329","2","51.6879997253418","8"
"2025-05-01 01:00:02.881","0.9075000286102295","0","-0.0851999968290329","2","68.97799682617188","8"
"2025-05-01 01:05:02.111","0.9922000169754028","0","0.0","0","41.678001403808594","0"
"2025-05-01 01:10:02.771","0.9437999725341797","0","0.04259999841451645","0","53.41699981689453","8"
"2025-05-01 01:15:02.111","1.1495000123977661","0","-0.04259999841451645","2","49.41299819946289","0"
"2025-05-01 01:20:02.691","0.8712000250816345","0","-0.04259999841451645","2","14.5600004196167","0"
"2025-05-01 01:25:01.961","0.9800999760627747","0","0.0851999968290329","0","65.15599822998047","8"
"2025-05-01 01:30:03.470","0.8349000215530396","0","-0.04259999841451645","2","67.06700134277344","0"
"2025-05-01 01:35:02.872","1.1131999492645264","0","-0.04259999841451645","2","64.33699798583984","0"
"2025-05-01 01:40:02.272","1.1495000123977661","0","0.04259999841451645","0","70.34300231933594","8"
"2025-05-01 01:45:01.910","1.2462999820709229","0","-0.0851999968290329","2","51.869998931884766","8"
"2025-05-01 01:50:02.560","1.173699975013733","0","-0.12780000269412994","2","59.332000732421875","0"
"2025-05-01 01:55:02.741","1.294700026512146","0","-0.04259999841451645","2","72.5270004272461","8"
"2025-05-01 02:00:02.221","1.3188999891281128","0","-0.04259999841451645","2","62.69900131225586","8"
"2025-05-01 02:05:01.931","1.101099967956543","0","0.0","0","66.24800109863281","0"
"2025-05-01 02:10:02.201","1.294700026512146","0","0.0","0","63.518001556396484","0"
"2025-05-01 02:15:02.592","1.3430999517440796","0","-0.0851999968290329","2","61.78900146484375","0"
"2025-05-01 02:20:02.402","1.5367000102996826","0","-0.0851999968290329","2","66.06600189208984","0"
"2025-05-01 02:25:02.222","1.2462999820709229","0","0.04259999841451645","0","62.334999084472656","0"
"2025-05-01 02:30:02.312","1.367300033569336","0","-0.0851999968290329","2","63.518001556396484","0"
"2025-05-01 02:35:02.841","1.2583999633789062","0","-0.0851999968290329","2","67.33999633789062","0"
"2025-05-01 02:40:02.461","1.5246000289916992","0","0.0","0","69.52400207519531","0"
"2025-05-01 02:45:02.790","1.669800043106079","0","-0.0851999968290329","2","67.97699737548828","0"
"2025-05-01 02:50:02.201","1.3430999517440796","0","0.12780000269412994","0","68.34100341796875","0"
"2025-05-01 02:55:02.732","1.7181999683380127","0","-0.04259999841451645","2","68.15899658203125","0"
"2025-05-01 03:00:02.142","1.2826000452041626","0","-0.12780000269412994","2","63.15399932861328","8"
"2025-05-01 03:05:02.771","1.8392000198364258","0","0.0","0","68.7959976196289","0"
"2025-05-01 03:10:02.532","1.9723000526428223","0","-0.04259999841451645","2","66.97599792480469","0"
"2025-05-01 03:15:02.571","1.7545000314712524","0","-0.5112000107765198","2","65.88400268554688","0"
"2025-05-01 03:20:01.901","1.8513000011444092","0","0.04259999841451645","0","66.33899688720703","0"
"2025-05-01 03:25:02.391","1.7060999870300293","0","-0.04259999841451645","2","64.88300323486328","0"
"2025-05-01 03:30:02.121","1.875499963760376","0","-0.0851999968290329","2","65.9749984741211","0"
"2025-05-01 03:35:02.782","1.9844000339508057","0","-0.04259999841451645","2","66.33899688720703","0"
"2025-05-01 03:40:02.881","2.1900999546051025","0","0.0","0","64.24600219726562","0"
"2025-05-01 03:45:02.320","1.6455999612808228","0","-0.04259999841451645","2","60.060001373291016","0"
"2025-05-01 03:50:01.841","2.407900094985962","0","0.04259999841451645","0","63.972999572753906","0"
"2025-05-01 03:55:02.261","2.1658999919891357","0","-0.12780000269412994","2","56.51100158691406","8"
"2025-05-01 04:00:02.209","1.9844000339508057","0","-0.04259999841451645","2","52.051998138427734","0"
"2025-05-01 04:05:02.611","1.9723000526428223","0","-0.04259999841451645","2","49.23099899291992","0"
"2025-05-01 04:10:01.870","3.1702001094818115","0","-0.0851999968290329","2","61.33399963378906","8"
"2025-05-01 04:15:03.241","2.081199884414673","0","-0.04259999841451645","2","56.51100158691406","0"
"2025-05-01 04:20:02.580","1.9239000082015991","0","0.0","0","63.518001556396484","0"
"2025-05-01 04:25:02.311","2.3958001136779785","0","-0.04259999841451645","2","65.5199966430664","0"
"2025-05-01 04:30:02.501","3.7146999835968018","0","-0.0851999968290329","2","62.88100051879883","0"
"2025-05-01 04:35:03.810","4.864200115203857","0","-0.04259999841451645","2","62.69900131225586","0"
"2025-05-01 04:40:02.560","3.460599899291992","0","0.04259999841451645","0","61.24300003051758","0"
"2025-05-01 04:45:03.100","2.383699893951416","0","0.0","0","62.97200012207031","0"
"2025-05-01 04:50:02.541","3.9203999042510986","0","-0.0851999968290329","2","62.0620002746582","0"
"2025-05-01 04:55:01.991","4.392300128936768","0","0.0851999968290329","0","62.608001708984375","0"
"2025-05-01 05:00:01.889","2.770900011062622","0","-0.0851999968290329","2","64.06400299072266","0"
"2025-05-01 05:05:02.331","1.7666000127792358","0","-0.0851999968290329","2","62.334999084472656","0"
"2025-05-01 05:10:02.592","2.553100109100342","0","0.04259999841451645","0","64.61000061035156","0"
"2025-05-01 05:15:02.129","2.734600067138672","0","0.0","0","63.70000076293945","0"
"2025-05-01 05:20:02.692","2.9282000064849854","0","-0.0851999968290329","2","63.79100036621094","0"
"2025-05-01 05:25:03.310","2.7225000858306885","0","-0.0851999968290329","2","63.518001556396484","0"
"2025-05-01 05:30:02.481","3.7873001098632812","0","-0.04259999841451645","2","61.33399963378906","0"
"2025-05-01 05:35:03.620","4.6585001945495605","0","0.0","0","61.51599884033203","0"
"2025-05-01 05:40:02.641","3.932499885559082","0","0.04259999841451645","0","65.33799743652344","0"
"2025-05-01 05:45:03.910","4.537499904632568","0","-0.12780000269412994","2","65.42900085449219","0"
"2025-05-01 05:50:02.531","2.383699893951416","0","0.0","0","63.0629997253418","0"
"2025-05-01 05:55:02.131","2.7467000484466553","0","0.0","0","64.24600219726562","0"
"2025-05-01 06:00:02.541","2.7225000858306885","0","-0.0851999968290329","2","59.87799835205078","0"
"2025-05-01 06:05:03.122","2.553100109100342","0","-0.0851999968290329","2","62.88100051879883","0"
"2025-05-01 06:10:02.560","2.686199903488159","0","-0.04259999841451645","2","67.61299896240234","0"
"2025-05-01 06:15:02.401","3.1459999084472656","0","0.12780000269412994","0","67.15799713134766","0"
"2025-05-01 06:20:02.471","2.916100025177002","0","-0.0851999968290329","2","63.244998931884766","0"
"2025-05-01 06:25:01.962","2.565200090408325","0","-0.04259999841451645","2","66.24800109863281","0"
"2025-05-01 06:30:02.852","2.9282000064849854","0","-0.04259999841451645","2","68.25","0"
"2025-05-01 06:35:03.409","3.2307000160217285","0","0.04259999841451645","0","67.15799713134766","0"
"2025-05-01 06:40:02.492","3.1459999084472656","0","-0.0851999968290329","2","64.88300323486328","0"
"2025-05-01 06:45:02.401","2.6377999782562256","0","0.04259999841451645","0","67.79499816894531","0"
"2025-05-01 06:50:02.511","2.6015000343322754","0","0.0851999968290329","0","65.33799743652344","0"
"2025-05-01 06:55:02.100","2.2263998985290527","0","-0.04259999841451645","2","64.79199981689453","0"
"2025-05-01 07:00:02.520","3.121799945831299","0","-0.04259999841451645","2","64.51899719238281","0"
"2025-05-01 07:05:03.102","2.3715999126434326","0","0.04259999841451645","0","66.06600189208984","0"
"2025-05-01 07:10:02.552","2.5409998893737793","0","0.0","0","69.06900024414062","0"
"2025-05-01 07:15:02.232","3.726799964904785","0","0.0","0","64.15499877929688","0"
"2025-05-01 07:20:02.192","3.4121999740600586","0","-0.04259999841451645","2","62.42599868774414","0"
"2025-05-01 07:25:02.601","2.2748000621795654","0","-0.04259999841451645","2","61.33399963378906","0"
"2025-05-01 07:30:02.892","2.565200090408325","0","-0.04259999841451645","2","61.880001068115234","0"
"2025-05-01 07:35:02.352","2.8071999549865723","0","-0.04259999841451645","2","61.24300003051758","0"
"2025-05-01 07:40:02.611","2.3958001136779785","0","0.0","0","59.150001525878906","0"
"2025-05-01 07:45:02.830","2.4200000762939453","0","-0.04259999841451645","2","59.150001525878906","0"
"2025-05-01 07:50:02.382","2.4200000762939453","0","-0.04259999841451645","2","58.604000091552734","0"
"2025-05-01 07:55:02.422","2.407900094985962","0","-0.12780000269412994","2","53.41699981689453","8"
