"time (UTC)","pCO2 in water (ppm)","qc_pco2_water","pCO2 in air (ppm)","qc_pco2_air","O2 in water (%)","qc_o2_water","o2_air","O2 in air (%)"
"2025-05-10 12:00:00.000","482.87512","0","460.83417","0","21.470514","0","21.14725","0"
"2025-05-10 15:00:00.000","363.6264","0","452.47986","0","21.72983","0","21.144485","0"
"2025-05-10 18:00:00.000","270.4714","0","436.2588","0","22.617409","0","21.29086","0"
"2025-05-10 21:00:00.000","542.3769","0","430.68097","0","21.855509","0","21.379305","0"
"2025-05-11 00:00:00.000","507.42383","0","426.61203","0","21.497746","0","21.33742","0"
"2025-05-11 03:00:00.000","275.36777","0","433.31082","0","22.376547","0","21.339828","0"
"2025-05-11 06:00:00.000","370.52112","0","449.82712","0","22.004484","0","21.155008","0"
"2025-05-11 09:00:00.000","557.29584","0","447.12442","0","21.265348","0","21.021029","0"
"2025-05-11 12:00:00.000","407.6083","0","454.60977","0","21.250525","0","20.986729","0"
"2025-05-11 15:00:00.000","353.17514","0","437.76135","0","21.588097","0","21.01466","0"
"2025-05-11 18:00:00.000","305.6036","0","434.96503","0","22.53621","0","21.264303","0"
"2025-05-11 21:00:00.000","576.14667","0","430.97842","0","21.610165","0","21.237425","0"
"2025-05-12 00:00:00.000","563.3879","0","427.00522","0","21.315178","0","21.395678","0"
"2025-05-12 03:00:00.000","291.12726","0","432.13156","0","22.101713","0","21.40965","0"
"2025-05-12 06:00:00.000","341.98987","0","450.53006","0","22.185352","0","21.303629","0"
"2025-05-12 09:00:00.000","468.68417","0","439.64395","0","21.749825","0","21.262411","0"
"2025-05-12 12:00:00.000","339.01776","0","444.0069","0","22.000343","0","21.263792","0"
"2025-05-12 15:00:00.000","330.02875","0","432.54803","0","22.23534","0","21.264648","0"
"2025-05-12 18:00:00.000","251.85928","0","425.12665","0","23.125355","0","21.486897","0"
"2025-05-12 21:00:00.000","503.25912","0","433.2185","0","22.402758","0","21.537586","0"
"2025-05-13 00:00:00.000","513.674","0","425.9334","0","21.954659","0","21.602066","0"
"2025-05-13 03:00:00.000","424.08893","0","430.43024","0","21.979145","0","21.69018","0"
"2025-05-13 06:00:00.000","484.3673","0","442.93655","0","21.596027","0","21.55517","0"
"2025-05-13 09:00:00.000","612.4667","0","453.9666","0","20.900003","0","21.471037","0"
"2025-05-13 12:00:00.000","419.86414","0","449.62357","0","21.120687","0","21.495348","0"
"2025-05-13 15:00:00.000","331.76364","0","435.66605","0","21.763966","0","21.577745","0"
"2025-05-13 18:00:00.000","315.99142","0","432.6129","0","22.355164","0","21.643446","0"
"2025-05-13 21:00:00.000","453.46332","0","425.06326","0","22.177929","0","21.796883","0"
"2025-05-14 00:00:00.000","468.4496","0","426.36417","0","21.443798","0","21.2924","0"
"2025-05-14 03:00:00.000","451.9332","0","428.99905","0","21.39793","0","21.353107","0"
"2025-05-14 06:00:00.000","377.07822","0","432.97913","0","21.516722","0","21.25413","0"
