"time (UTC)","temp (degC)","qc_temp","do (mg/L)","qc_do","salinity (ppt)","qc_salinity"
"2025-05-01 00:10:22.603","9.498100280761719","0","8.041000366210938","0","30.959699630737305","0"
"2025-05-01 00:30:21.960","9.553299903869629","0","8.0600004196167","0","30.924800872802734","0"
"2025-05-01 00:35:21.990","9.552399635314941","0","8.086000442504883","0","30.91230010986328","0"
"2025-05-01 00:40:21.873","9.561599731445312","0","8.069999694824219","0","30.91320037841797","0"
"2025-05-01 00:45:22.770","9.510499954223633","0","8.085000038146973","0","30.918699264526367","0"
"2025-05-01 00:55:21.923","9.571599960327148","0","8.0649995803833","0","30.917999267578125","0"
"2025-05-01 01:00:22.817","9.60770034790039","0","8.083999633789062","0","30.903900146484375","0"
"2025-05-01 01:05:21.892","9.61989974975586","0","8.116000175476074","0","30.91629981994629","0"
"2025-05-01 01:15:22.430","9.62720012664795","0","8.190999984741211","0","30.89859962463379","0"
"2025-05-01 01:25:21.949","9.621700286865234","0","8.20300006866455","0","30.89940071105957","0"
"2025-05-01 01:40:22.300","9.596599578857422","0","8.170999526977539","0","30.899700164794922","0"
"2025-05-01 01:45:21.903","9.556599617004395","0","8.180999755859375","0","30.902099609375","0"
"2025-05-01 01:55:22.311","9.556400299072266","0","8.192000389099121","0","30.906299591064453","0"
"2025-05-01 02:00:22.237","9.569499969482422","0","8.168999671936035","0","30.905799865722656","0"
"2025-05-01 02:10:22.193","9.574999809265137","0","8.152999877929688","0","30.901399612426758","0"
"2025-05-01 02:15:22.127","9.541999816894531","0","8.185999870300293","0","30.9060001373291","0"
"2025-05-01 02:20:22.356","9.568300247192383","0","8.156999588012695","0","30.90489959716797","0"
"2025-05-01 02:25:22.216","9.541999816894531","0","8.166999816894531","0","30.907100677490234","0"
"2025-05-01 02:30:22.119","9.559900283813477","0","8.140999794006348","0","30.904399871826172","0"
"2025-05-01 02:40:22.460","9.547900199890137","0","8.119000434875488","0","30.90369987487793","0"
"2025-05-01 02:45:22.392","9.54640007019043","0","8.107999801635742","0","30.903099060058594","0"
"2025-05-01 02:55:22.191","9.544300079345703","0","8.086000442504883","0","30.904699325561523","0"
"2025-05-01 03:10:22.524","9.97130012512207","0","8.092000007629395","0","30.796300888061523","0"
"2025-05-01 03:15:22.404","9.84119987487793","0","8.406999588012695","0","30.831199645996094","0"
"2025-05-01 03:20:21.880","9.749300003051758","0","8.47599983215332","0","30.858699798583984","0"
"2025-05-01 03:25:22.161","9.821499824523926","0","8.416000366210938","0","30.83139991760254","0"
"2025-05-01 03:30:22.449","9.889900207519531","0","8.42199993133545","0","30.809799194335938","0"
"2025-05-01 03:35:22.771","9.88659954071045","0","8.538999557495117","0","30.81100082397461","0"
"2025-05-01 03:40:22.409","9.920499801635742","0","8.605999946594238","0","30.798599243164062","0"
"2025-05-01 03:45:22.334","9.93280029296875","0","8.664999961853027","0","30.77680015563965","0"
"2025-05-01 03:50:21.836","9.931500434875488","0","8.704999923706055","0","30.78190040588379","0"
"2025-05-01 03:55:22.121","9.935700416564941","0","8.753999710083008","0","30.789600372314453","0"
"2025-05-01 04:00:22.129","9.945899963378906","0","8.807999610900879","0","30.782800674438477","0"
"2025-05-01 04:05:22.605","9.934300422668457","0","8.82699966430664","0","30.783599853515625","0"
"2025-05-01 04:10:21.869","9.912799835205078","0","8.833000183105469","0","30.774900436401367","0"
"2025-05-01 04:15:22.784","9.896400451660156","0","8.840999603271484","0","30.796199798583984","0"
"2025-05-01 04:20:22.436","9.906299591064453","0","8.800999641418457","0","30.793399810791016","0"
"2025-05-01 04:25:22.301","9.913100242614746","0","8.756999969482422","0","30.78070068359375","0"
"2025-05-01 04:30:22.228","9.981499671936035","0","8.762999534606934","0","30.74329948425293","0"
"2025-05-01 04:35:22.822","10.011699676513672","0","8.859000205993652","0","30.733699798583984","0"
"2025-05-01 04:40:22.553","10.028499603271484","0","8.913999557495117","0","30.717300415039062","0"
"2025-05-01 04:45:22.463","9.994400024414062","0","9.019000053405762","0","30.724700927734375","0"
"2025-05-01 04:50:22.112","9.996199607849121","0","9.029999732971191","0","30.731399536132812","0"
"2025-05-01 04:55:21.987","9.979399681091309","0","9.008000373840332","0","30.732500076293945","0"
"2025-05-01 05:00:21.924","9.993000030517578","0","8.97700023651123","0","30.719999313354492","0"
"2025-05-01 05:05:22.321","9.943599700927734","0","9.005999565124512","0","30.70549964904785","0"
"2025-05-01 05:10:22.195","9.918999671936035","0","9.026000022888184","0","30.69379997253418","0"
"2025-05-01 05:15:22.910","9.958399772644043","0","9.038999557495117","0","30.682899475097656","0"
"2025-05-01 05:20:22.680","10.004799842834473","0","9.03499984741211","0","30.71269989013672","0"
"2025-05-01 05:25:22.457","9.999600410461426","0","9.072999954223633","0","30.705799102783203","0"
"2025-05-01 05:30:22.401","10.00529956817627","0","9.133000373840332","0","30.708499908447266","0"
"2025-05-01 05:35:22.758","10.02079963684082","0","9.154999732971191","0","30.708200454711914","0"
"2025-05-01 05:40:22.632","9.988300323486328","0","9.152000427246094","0","30.717300415039062","0"
"2025-05-01 05:45:22.558","10.007699966430664","0","9.107999801635742","0","30.720800399780273","0"
"2025-05-01 05:50:22.248","10.006099700927734","0","9.074000358581543","0","30.716800689697266","0"
"2025-05-01 05:55:22.129","10.011799812316895","0","8.970999717712402","0","30.708599090576172","0"
"2025-05-01 06:00:22.330","10.008399963378906","0","8.861000061035156","0","30.710399627685547","0"
"2025-05-01 06:05:22.743","10.022199630737305","0","8.810999870300293","0","30.709199905395508","0"
"2025-05-01 06:10:22.465","10.011699676513672","0","8.781000137329102","0","30.707500457763672","0"
"2025-05-01 06:15:22.331","10.014599800109863","0","8.781999588012695","0","30.707500457763672","0"
"2025-05-01 06:20:22.729","10.01609992980957","0","8.800999641418457","0","30.710500717163086","0"
"2025-05-01 06:25:21.952","10.003999710083008","0","8.807000160217285","0","30.719499588012695","0"
"2025-05-01 06:30:22.856","9.96500015258789","0","8.824000358581543","0","30.709800720214844","0"
"2025-05-01 06:35:22.603","10.008399963378906","0","8.899999618530273","0","30.697999954223633","0"
"2025-05-01 06:40:22.481","10.00510025024414","0","9.008999824523926","0","30.685699462890625","0"
"2025-05-01 06:45:22.373","10.000900268554688","0","9.093999862670898","0","30.683000564575195","0"
"2025-05-01 06:50:22.115","9.961099624633789","0","9.123000144958496","0","30.697399139404297","0"
"2025-05-01 06:55:21.996","9.954899787902832","0","9.095999717712402","0","30.692399978637695","0"
"2025-05-01 07:00:21.895","10.003800392150879","0","9.071000099182129","0","30.678499221801758","0"
"2025-05-01 07:05:22.477","9.981399536132812","0","9.116999626159668","0","30.680999755859375","0"
"2025-05-01 07:10:22.326","9.959699630737305","0","9.105999946594238","0","30.683300018310547","0"
"2025-05-01 07:15:22.218","9.966899871826172","0","9.057999610900879","0","30.682899475097656","0"
