"time (UTC)","max velocity (m/s)","maxu_qc"
"2025-05-02 03:45:04.000","0.22243425","0"
"2025-05-02 04:00:04.000","0.26375937","0"
"2025-05-02 04:15:04.000","0.35700142","0"
"2025-05-02 04:30:04.000","0.30735812","0"
"2025-05-02 04:45:04.000","0.26744157","0"
"2025-05-02 05:00:04.000","0.22740494","0"
"2025-05-02 05:15:04.000","0.25181144","0"
"2025-05-02 05:30:04.000","0.21824068","0"
"2025-05-02 05:45:04.000","0.24463849","0"
"2025-05-02 06:00:04.000","0.2002024","0"
"2025-05-02 06:15:04.000","0.115316965","0"
"2025-05-02 06:30:04.000","0.09508418","0"
"2025-05-02 06:45:04.000","0.15534802","0"
"2025-05-02 07:00:04.000","0.3983993","0"
"2025-05-02 07:15:04.000","0.58512914","0"
"2025-05-02 07:30:04.000","0.5469379","0"
"2025-05-02 07:45:04.000","0.41270447","0"
"2025-05-02 08:00:04.000","0.35708964","0"
"2025-05-02 08:15:04.000","0.22257584","0"
"2025-05-02 08:30:04.000","0.16292635","0"
"2025-05-02 08:45:04.000","0.09617692","0"
"2025-05-02 09:00:04.000","0.11248556","0"
"2025-05-02 09:15:04.000","0.111521296","0"
"2025-05-02 09:30:04.000","0.10262554","0"
"2025-05-02 09:45:04.000","0.0951893","0"
"2025-05-02 10:00:04.000","0.09674709","0"
"2025-05-02 10:15:04.000","0.1657106","0"
"2025-05-02 10:30:04.000","0.17585504","0"
"2025-05-02 10:45:04.000","0.16548416","0"
"2025-05-02 11:00:04.000","0.09871675","0"
"2025-05-02 11:15:04.000","0.06618912","0"
"2025-05-02 11:30:04.000","0.09308597","0"
"2025-05-02 11:45:04.000","0.06881861","0"
"2025-05-02 12:00:04.000","0.1457738","0"
"2025-05-02 12:15:04.000","0.16492423","0"
"2025-05-02 12:30:04.000","0.14356185","0"
"2025-05-02 12:45:04.000","0.090509675","0"
"2025-05-02 13:00:04.000","0.3078344","0"
"2025-05-02 13:15:04.000","0.49246824","0"
"2025-05-02 13:30:04.000","0.49655217","0"
"2025-05-02 13:45:04.000","0.38029596","0"
"2025-05-02 14:00:04.000","0.33571568","0"
"2025-05-02 14:15:04.000","0.3684359","0"
"2025-05-02 14:30:04.000","0.51722044","0"
"2025-05-02 14:45:04.000","0.7877183","0"
"2025-05-02 15:00:04.000","1.0198379","0"
"2025-05-02 15:15:04.000","1.156772","0"
"2025-05-02 15:30:04.000","1.2088279","0"
"2025-05-02 15:45:04.000","1.4045175","0"
"2025-05-02 16:00:04.000","1.2602009","0"
"2025-05-02 16:15:04.000","1.4504722","0"
"2025-05-02 16:30:04.000","1.6283343","0"
"2025-05-02 16:45:04.000","1.3094308","0"
"2025-05-02 17:00:04.000","1.3727946","0"
"2025-05-02 17:15:04.000","1.4080405","0"
"2025-05-02 17:30:04.000","1.4844007","0"
"2025-05-02 17:45:04.000","1.5285156","0"
"2025-05-02 18:00:04.000","1.5910454","0"
"2025-05-02 18:15:04.000","1.6705608","0"
"2025-05-02 18:30:04.000","1.6517348","0"
"2025-05-02 18:45:04.000","1.6851398","0"
"2025-05-02 19:00:04.000","1.6904784","0"
"2025-05-02 19:15:04.000","1.677377","0"
"2025-05-02 19:30:04.000","1.7374837","0"
"2025-05-02 19:45:04.000","1.6519521","0"
"2025-05-02 20:00:04.000","1.5331852","0"
"2025-05-02 20:15:04.000","1.4894254","0"
"2025-05-02 20:30:04.000","1.3330405","0"
"2025-05-02 20:45:04.000","1.1513166","0"
"2025-05-02 21:00:04.000","0.9786486","0"
"2025-05-02 21:15:04.000","0.5940412","0"
"2025-05-02 21:30:04.000","0.32596013","0"
"2025-05-02 21:45:05.000","0.20940155","0"
"2025-05-02 22:00:05.000","0.42147478","0"
"2025-05-02 22:15:04.000","0.5450147","0"
"2025-05-02 22:30:05.000","0.4054874","0"
"2025-05-02 22:45:05.000","0.34530133","0"
"2025-05-02 23:00:05.000","0.44329786","0"
"2025-05-02 23:15:05.000","0.44214585","0"
"2025-05-02 23:30:05.000","0.47274524","0"
"2025-05-02 23:45:05.000","0.642004","0"
"2025-05-03 00:00:05.000","0.64842737","0"
"2025-05-03 00:15:05.000","0.5942945","0"
"2025-05-03 00:30:05.000","0.67904717","0"
"2025-05-03 00:45:05.000","0.8635566","0"
"2025-05-03 01:00:05.000","0.86267036","0"
"2025-05-03 01:15:05.000","0.93006516","0"
"2025-05-03 01:30:05.000","0.92006195","0"
"2025-05-03 01:45:05.000","1.1137185","0"
"2025-05-03 02:00:05.000","1.047836","0"
"2025-05-03 02:15:05.000","0.92998505","0"
"2025-05-03 02:30:05.000","0.91275024","0"
"2025-05-03 02:45:05.000","0.9300136","0"
"2025-05-03 03:00:05.000","1.1074065","0"
"2025-05-03 03:15:05.000","0.8181197","0"
"2025-05-03 03:30:05.000","0.750944","0"
"2025-05-03 03:45:05.000","0.6917405","0"
"2025-05-03 04:00:04.000","0.60964334","0"
"2025-05-03 04:15:04.000","0.3628912","0"
"2025-05-03 04:30:04.000","0.43511835","0"
"2025-05-03 04:45:04.000","0.32477993","0"
"2025-05-03 05:00:04.000","0.30366102","0"
"2025-05-03 05:15:04.000","0.27542692","0"
"2025-05-03 05:30:04.000","0.28205675","0"
"2025-05-03 05:45:04.000","0.20086065","0"
"2025-05-03 06:00:04.000","0.108811766","0"
"2025-05-03 06:15:04.000","0.3259954","0"
"2025-05-03 06:30:04.000","0.16710775","0"
"2025-05-03 06:45:04.000","0.26806155","0"
"2025-05-03 07:00:04.000","0.18252124","0"
"2025-05-03 07:15:04.000","0.2045605","0"
"2025-05-03 07:30:04.000","0.24200204","0"
"2025-05-03 07:45:04.000","0.35126197","0"
"2025-05-03 08:00:04.000","0.41686925","0"
"2025-05-03 08:15:04.000","0.43618914","0"
"2025-05-03 08:30:04.000","0.40254807","0"
"2025-05-03 08:45:04.000","0.3791913","0"
"2025-05-03 09:00:04.000","0.34439796","0"
"2025-05-03 09:15:04.000","0.3278079","0"
"2025-05-03 09:30:04.000","0.2714885","0"
"2025-05-03 09:45:04.000","0.17600569","0"
"2025-05-03 10:00:04.000","0.11381127","0"
"2025-05-03 10:15:04.000","0.12137957","0"
"2025-05-03 10:30:04.000","0.07505998","0"
"2025-05-03 10:45:04.000","0.15085094","0"
"2025-05-03 11:00:04.000","0.15719098","0"
"2025-05-03 11:15:04.000","0.118595935","0"
"2025-05-03 11:30:04.000","0.10049874","0"
"2025-05-03 11:45:04.000","0.19833809","0"
"2025-05-03 12:00:04.000","0.1683241","0"
"2025-05-03 12:15:04.000","0.0996243","0"
"2025-05-03 12:30:04.000","0.05001","0"
"2025-05-03 12:45:04.000","0.1328345","0"
"2025-05-03 13:00:04.000","0.19041273","0"
"2025-05-03 13:15:04.000","0.22078496","0"
"2025-05-03 13:30:04.000","0.2009602","0"
"2025-05-03 13:45:04.000","0.18160397","0"
"2025-05-03 14:00:04.000","0.17049631","0"
"2025-05-03 14:15:04.000","0.11260552","0"
"2025-05-03 14:30:04.000","0.1174138","0"
"2025-05-03 14:45:04.000","0.19334169","0"
"2025-05-03 15:00:04.000","0.28492984","0"
"2025-05-03 15:15:04.000","0.54149145","0"
"2025-05-03 15:30:04.000","0.5585786","0"
"2025-05-03 15:45:04.000","0.6123602","0"
"2025-05-03 16:00:04.000","0.69478416","0"
"2025-05-03 16:15:04.000","0.9958514","0"
"2025-05-03 16:30:04.000","0.9391795","0"
"2025-05-03 16:45:04.000","1.012046","0"
"2025-05-03 17:00:04.000","1.0060123","0"
"2025-05-03 17:15:04.000","1.0962819","0"
"2025-05-03 17:30:04.000","1.1163301","0"
"2025-05-03 17:45:04.000","1.1557565","0"
"2025-05-03 18:00:04.000","1.2027303","0"
"2025-05-03 18:15:04.000","1.2924404","0"
"2025-05-03 18:30:04.000","1.3501662","0"
"2025-05-03 18:45:04.000","1.3904766","0"
"2025-05-03 19:00:04.000","1.4722419","0"
"2025-05-03 19:15:04.000","1.5036012","0"
"2025-05-03 19:30:04.000","1.4945223","0"
"2025-05-03 19:45:04.000","1.4867549","0"
"2025-05-03 20:00:04.000","1.5194069","0"
"2025-05-03 20:15:04.000","1.4666823","0"
"2025-05-03 20:30:04.000","1.4285239","0"
"2025-05-03 20:45:04.000","1.4050156","0"
"2025-05-03 21:00:04.000","1.3529836","0"
"2025-05-03 21:15:04.000","1.2099603","0"
"2025-05-03 21:30:04.000","1.0248171","0"
"2025-05-03 21:45:04.000","0.875","0"
"2025-05-03 22:00:04.000","0.7321667","0"
"2025-05-03 22:15:04.000","0.48679563","0"
"2025-05-03 22:30:05.000","0.17681912","0"
"2025-05-03 22:45:04.000","0.108903624","0"
"2025-05-03 23:00:05.000","0.43001053","0"
"2025-05-03 23:15:05.000","0.5492987","0"
"2025-05-03 23:30:04.000","0.5837371","0"
"2025-05-03 23:45:04.000","0.3452101","0"
"2025-05-04 00:00:05.000","0.3300682","0"
"2025-05-04 00:15:04.000","0.30674094","0"
"2025-05-04 00:30:05.000","0.51153105","0"
"2025-05-04 00:45:05.000","0.5560334","0"
"2025-05-04 01:00:05.000","0.6379624","0"
"2025-05-04 01:15:05.000","0.5479498","0"
"2025-05-04 01:30:05.000","0.6272041","0"
"2025-05-04 01:45:05.000","0.7281346","0"
"2025-05-04 02:00:05.000","0.7079838","0"
"2025-05-04 02:15:05.000","0.8778668","0"
"2025-05-04 02:30:05.000","0.99242383","0"
"2025-05-04 02:45:05.000","0.8801841","0"
"2025-05-04 03:00:05.000","0.94200855","0"
"2025-05-04 03:15:05.000","0.9791307","0"
"2025-05-04 03:30:05.000","1.0704657","0"
"2025-05-04 03:45:05.000","0.98576725","0"
"2025-05-04 04:00:05.000","0.9389468","0"
"2025-05-04 04:15:05.000","0.7892907","0"
"2025-05-04 04:30:05.000","0.69106364","0"
"2025-05-04 04:45:05.000","0.69135237","0"
"2025-05-04 05:00:05.000","0.2385372","0"
"2025-05-04 05:15:05.000","0.5557446","0"
"2025-05-04 05:30:05.000","0.3248877","0"
"2025-05-04 05:45:04.000","0.33477306","0"
"2025-05-04 06:00:04.000","0.31195512","0"
"2025-05-04 06:15:04.000","0.2140584","0"
"2025-05-04 06:30:04.000","0.17426991","0"
"2025-05-04 06:45:04.000","0.15065856","0"
"2025-05-04 07:00:04.000","0.10780075","0"
"2025-05-04 07:15:04.000","0.104350366","0"
"2025-05-04 07:30:04.000","0.10400962","0"
"2025-05-04 07:45:04.000","0.22080989","0"
"2025-05-04 08:00:04.000","0.29635453","0"
"2025-05-04 08:15:04.000","0.36729962","0"
"2025-05-04 08:30:04.000","0.4284169","0"
"2025-05-04 08:45:04.000","0.4515263","0"
"2025-05-04 09:00:04.000","0.45116404","0"
"2025-05-04 09:15:04.000","0.48533702","0"
"2025-05-04 09:30:04.000","0.5389342","0"
"2025-05-04 09:45:04.000","0.60600084","0"
"2025-05-04 10:00:04.000","0.5818806","0"
"2025-05-04 10:15:04.000","0.50635374","0"
"2025-05-04 10:30:04.000","0.5038303","0"
"2025-05-04 10:45:04.000","0.4683855","0"
"2025-05-04 11:00:04.000","0.37423253","0"
"2025-05-04 11:15:04.000","0.2331373","0"
"2025-05-04 11:30:04.000","0.21377088","0"
"2025-05-04 11:45:04.000","0.15111917","0"
"2025-05-04 12:00:04.000","0.07496666","0"
"2025-05-04 12:15:04.000","0.10280079","0"
"2025-05-04 12:30:04.000","0.13869752","0"
"2025-05-04 12:45:04.000","0.07856844","0"
"2025-05-04 13:00:04.000","0.15769911","0"
"2025-05-04 13:15:04.000","0.23624773","0"
"2025-05-04 13:30:04.000","0.22027259","0"
"2025-05-04 13:45:04.000","0.20624259","0"
"2025-05-04 14:00:04.000","0.18830828","0"
"2025-05-04 14:15:04.000","0.1767852","0"
"2025-05-04 14:30:04.000","0.20814659","0"
"2025-05-04 14:45:04.000","0.21384576","0"
"2025-05-04 15:00:04.000","0.20374739","0"
"2025-05-04 15:15:04.000","0.15344383","0"
"2025-05-04 15:30:04.000","0.12379419","0"
"2025-05-04 15:45:04.000","0.16692813","0"
"2025-05-04 16:00:04.000","0.17336665","0"
"2025-05-04 16:15:04.000","0.23438643","0"
"2025-05-04 16:30:04.000","0.3121234","0"
"2025-05-04 16:45:04.000","0.43811527","0"
"2025-05-04 17:00:04.000","0.535721","0"
"2025-05-04 17:15:04.000","0.56414366","0"
"2025-05-04 17:30:04.000","0.61841816","0"
"2025-05-04 17:45:04.000","0.7275411","0"
"2025-05-04 18:00:04.000","0.7415559","0"
"2025-05-04 18:15:04.000","0.7598487","0"
"2025-05-04 18:30:04.000","0.8703701","0"
"2025-05-04 18:45:04.000","0.82378703","0"
"2025-05-04 19:00:04.000","0.9421407","0"
"2025-05-04 19:15:04.000","1.0265111","0"
"2025-05-04 19:30:04.000","1.0385841","0"
"2025-05-04 19:45:04.000","1.0577533","0"
"2025-05-04 20:00:04.000","1.095765","0"
"2025-05-04 20:15:04.000","1.1226835","0"
"2025-05-04 20:30:04.000","1.1632887","0"
"2025-05-04 20:45:04.000","1.106339","0"
"2025-05-04 21:00:04.000","1.0785619","0"
"2025-05-04 21:15:04.000","1.072993","0"
"2025-05-04 21:30:04.000","1.0762203","0"
"2025-05-04 21:45:04.000","1.0430187","0"
"2025-05-04 22:00:04.000","0.95559835","0"
"2025-05-04 22:15:04.000","0.8631879","0"
"2025-05-04 22:30:04.000","0.7322466","0"
"2025-05-04 22:45:04.000","0.61410093","0"
"2025-05-04 23:00:04.000","0.41576916","0"
"2025-05-04 23:15:04.000","0.16180545","0"
"2025-05-04 23:30:04.000","0.14720054","0"
"2025-05-04 23:45:04.000","0.3466886","0"
"2025-05-05 00:00:05.000","0.44476065","0"
"2025-05-05 00:15:05.000","0.43627173","0"
"2025-05-05 00:30:05.000","0.29808894","0"
"2025-05-05 00:45:05.000","0.2833461","0"
"2025-05-05 01:00:05.000","0.2731831","0"
"2025-05-05 01:15:05.000","0.31483644","0"
"2025-05-05 01:30:05.000","0.3693846","0"
"2025-05-05 01:45:05.000","0.3443791","0"
"2025-05-05 02:00:05.000","0.46922064","0"
"2025-05-05 02:15:05.000","0.5998107","0"
"2025-05-05 02:30:05.000","0.5397258","0"
"2025-05-05 02:45:05.000","0.6660849","0"
"2025-05-05 03:00:05.000","0.5347345","0"
"2025-05-05 03:15:05.000","0.7450007","0"
"2025-05-05 03:30:05.000","0.903005","0"
"2025-05-05 03:45:05.000","0.70618135","0"
"2025-05-05 04:00:05.000","0.8833539","0"
"2025-05-05 04:15:05.000","0.82637835","0"
"2025-05-05 04:30:05.000","0.9332653","0"
"2025-05-05 04:45:05.000","0.826155","0"
"2025-05-05 05:00:05.000","0.85445887","0"
"2025-05-05 05:15:05.000","0.94117427","0"
"2025-05-05 05:30:05.000","0.77797824","0"
