Number,Id,Datetime,Timestamp,Runtime,Type,Depth,Temperature,Heading,Roll,Pitch
1,3,2024-09-23 12:26:54,1727119614,12,p,0.25,23.5,179.9,-87.8,-0.6
2,4,2024-09-23 12:27:04,1727119624,22,p,0.25,23.5,179.9,-87.8,-0.6
3,5,2024-09-23 12:27:14,1727119634,32,p,0.25,23.5,179.9,-87.8,-0.6
4,6,2024-09-23 12:27:24,1727119644,42,p,0.25,23.5,179.9,-87.8,-0.6
5,7,2024-09-23 12:27:34,1727119654,52,p,0.25,23.5,179.9,-87.8,-0.6
6,8,2024-09-23 12:27:44,1727119664,62,p,0.25,23.5,179.9,-87.8,-0.6
7,9,2024-09-23 12:27:54,1727119674,72,p,0.25,23.5,179.9,-87.8,-0.6
8,10,2024-09-23 12:28:04,1727119684,82,p,0.25,23.5,179.9,-87.8,-0.6
9,11,2024-09-23 12:28:14,1727119694,92,p,0.25,23.5,179.9,-87.8,-0.6
10,12,2024-09-23 12:28:24,1727119704,102,p,0.25,23.5,179.9,-87.8,-0.6
11,13,2024-09-23 12:28:34,1727119714,112,p,0.25,23.5,179.9,-87.8,-0.6
12,14,2024-09-23 12:28:44,1727119724,122,p,0.25,23.5,179.9,-87.8,-0.6
13,15,2024-09-23 12:28:54,1727119734,132,p,0.25,23.5,179.9,-87.8,-0.6
14,16,2024-09-23 12:29:04,1727119744,142,p,0.26,23.5,179.9,-87.8,-0.6
15,17,2024-09-23 12:29:14,1727119754,152,p,0.26,23.5,179.9,-87.8,-0.6
16,18,2024-09-23 12:29:24,1727119764,162,p,0.26,23.5,179.9,-87.8,-0.6
17,19,2024-09-23 12:29:34,1727119774,172,p,0.27,23.5,179.9,-87.8,-0.6
18,20,2024-09-23 12:29:44,1727119784,182,p,0.27,23.5,179.9,-87.8,-0.6
19,21,2024-09-23 12:29:54,1727119794,192,p,0.27,23.6,179.9,-87.8,-0.6
20,22,2024-09-23 12:30:04,1727119804,202,p,0.27,23.6,179.9,-87.8,-0.6
21,23,2024-09-23 12:30:14,1727119814,212,p,0.28,23.6,179.9,-87.8,-0.6
22,24,2024-09-23 12:30:24,1727119824,222,p,0.28,23.6,179.9,-87.8,-0.6
23,25,2024-09-23 12:30:33,1727119833,231,p,0.29,23.6,179.9,-87.8,-0.6
24,26,2024-09-23 12:30:43,1727119843,241,p,0.28,23.6,179.9,-87.8,-0.6
25,27,2024-09-23 12:30:53,1727119853,251,p,0.29,23.6,179.9,-87.8,-0.6
26,28,2024-09-23 12:31:03,1727119863,261,p,0.28,23.6,179.9,-87.8,-0.6
27,29,2024-09-23 12:31:13,1727119873,271,p,0.29,23.6,179.9,-87.8,-0.6
28,30,2024-09-23 12:31:23,1727119883,281,p,0.29,23.6,179.9,-87.8,-0.6
29,31,2024-09-23 12:31:33,1727119893,291,p,0.3,23.6,179.9,-87.8,-0.6
30,32,2024-09-23 12:31:43,1727119903,301,p,0.29,23.6,179.9,-87.8,-0.6
31,33,2024-09-23 12:31:53,1727119913,311,p,0.3,23.6,179.9,-87.8,-0.6
32,34,2024-09-23 12:32:03,1727119923,321,p,0.3,23.6,179.9,-87.8,-0.6
33,35,2024-09-23 12:32:13,1727119933,331,p,0.3,23.6,179.9,-87.8,-0.6
34,36,2024-09-23 12:32:23,1727119943,341,p,0.3,23.6,179.9,-87.8,-0.6
35,37,2024-09-23 12:32:33,1727119953,351,p,0.3,23.6,179.9,-87.8,-0.6
36,38,2024-09-23 12:32:43,1727119963,361,p,0.31,23.6,179.9,-87.8,-0.6
37,39,2024-09-23 12:32:53,1727119973,371,p,0.31,23.6,179.9,-87.8,-0.6
38,40,2024-09-23 12:33:03,1727119983,381,p,0.31,23.7,179.9,-87.8,-0.6
39,41,2024-09-23 12:33:13,1727119993,391,p,0.31,23.7,179.9,-87.8,-0.6
40,42,2024-09-23 12:33:23,1727120003,401,p,0.31,23.7,179.9,-87.8,-0.6
41,43,2024-09-23 12:33:33,1727120013,411,p,0.31,23.7,179.9,-87.8,-0.6
42,44,2024-09-23 12:33:43,1727120023,421,p,0.31,23.7,179.9,-87.8,-0.6
43,45,2024-09-23 12:33:53,1727120033,431,p,0.31,23.7,179.9,-87.8,-0.6
44,46,2024-09-23 12:34:03,1727120043,441,p,0.33,23.7,179.9,-87.8,-0.6
45,47,2024-09-23 12:34:13,1727120053,451,p,0.32,23.7,179.9,-87.8,-0.6
46,48,2024-09-23 12:34:22,1727120062,460,p,0.32,23.7,179.9,-87.8,-0.6
47,49,2024-09-23 12:34:32,1727120072,470,p,0.32,23.7,179.9,-87.8,-0.6
48,50,2024-09-23 12:34:42,1727120082,480,p,0.33,23.7,179.9,-87.8,-0.6
49,51,2024-09-23 12:34:52,1727120092,490,p,0.32,23.7,179.9,-87.8,-0.6
50,52,2024-09-23 12:35:02,1727120102,500,p,0.33,23.7,179.9,-87.8,-0.6
51,53,2024-09-23 12:35:12,1727120112,510,p,0.33,23.7,179.9,-87.8,-0.6
52,54,2024-09-23 12:35:22,1727120122,520,p,0.32,23.7,179.9,-87.8,-0.6
53,55,2024-09-23 12:35:32,1727120132,530,p,0.33,23.7,179.9,-87.8,-0.6
54,56,2024-09-23 12:35:42,1727120142,540,p,0.33,23.7,179.9,-87.8,-0.6
55,57,2024-09-23 12:35:52,1727120152,550,p,0.33,23.7,179.9,-87.8,-0.6
56,58,2024-09-23 12:36:02,1727120162,560,p,0.33,23.8,179.9,-87.8,-0.6
57,59,2024-09-23 12:36:12,1727120172,570,p,0.33,23.8,179.9,-87.8,-0.6
58,60,2024-09-23 12:36:22,1727120182,580,p,0.33,23.8,179.9,-87.8,-0.6
59,61,2024-09-23 12:36:32,1727120192,590,p,0.33,23.8,179.9,-87.8,-0.6
60,62,2024-09-23 12:36:42,1727120202,600,p,0.33,23.8,179.9,-87.8,-0.6
61,63,2024-09-23 12:36:52,1727120212,610,p,0.33,23.8,179.9,-87.8,-0.6
62,64,2024-09-23 12:37:02,1727120222,620,p,0.34,23.8,179.9,-87.8,-0.6
63,65,2024-09-23 12:37:12,1727120232,630,p,0.33,23.8,179.9,-87.8,-0.6
64,66,2024-09-23 12:37:22,1727120242,640,p,0.33,23.8,179.9,-87.8,-0.6
65,67,2024-09-23 12:37:32,1727120252,650,p,0.33,23.8,179.9,-87.8,-0.6
66,68,2024-09-23 12:37:42,1727120262,660,p,0.34,23.8,179.9,-87.8,-0.6
67,69,2024-09-23 12:37:52,1727120272,670,p,0.34,23.8,179.9,-87.8,-0.6
68,70,2024-09-23 12:38:02,1727120282,680,p,0.34,23.8,179.9,-87.8,-0.6
69,71,2024-09-23 12:38:11,1727120291,689,p,0.33,23.8,179.9,-87.8,-0.6
70,72,2024-09-23 12:38:21,1727120301,699,p,0.34,23.8,179.9,-87.8,-0.6
71,73,2024-09-23 12:38:31,1727120311,709,p,0.34,23.8,179.9,-87.8,-0.6
72,74,2024-09-23 12:38:41,1727120321,719,p,0.34,23.8,179.9,-87.8,-0.6
73,75,2024-09-23 12:38:51,1727120331,729,p,0.34,23.9,179.9,-87.8,-0.6
74,76,2024-09-23 12:39:01,1727120341,739,p,0.33,23.9,179.9,-87.8,-0.6
75,77,2024-09-23 12:39:11,1727120351,749,p,0.34,23.9,179.9,-87.8,-0.6
76,78,2024-09-23 12:39:21,1727120361,759,p,0.34,23.9,179.9,-87.8,-0.6
77,79,2024-09-23 12:39:31,1727120371,769,p,0.34,23.9,179.9,-87.8,-0.6
78,80,2024-09-23 12:39:41,1727120381,779,p,0.34,23.9,179.9,-87.8,-0.6
79,81,2024-09-23 12:39:51,1727120391,789,p,0.34,23.9,179.9,-87.8,-0.6
