Number,Id,Datetime,Timestamp,Runtime,Type,Depth,Temperature,Heading,Roll,Pitch
1,1088,2025-02-26 02:12:36,1740564756,12,p,0.24,18.2,180.6,-86.5,-1.4
2,1089,2025-02-26 02:12:46,1740564766,22,p,0.24,18.1,180.8,-86.1,-1.3
3,1090,2025-02-26 02:12:56,1740564776,32,p,0.23,18,179.5,-86.4,-2.6
4,1091,2025-02-26 02:13:06,1740564786,42,p,0.23,17.9,183.4,-85.7,-2.2
5,1092,2025-02-26 02:13:16,1740564796,52,p,0.23,17.8,184.1,-85,-1.9
6,1093,2025-02-26 02:13:26,1740564806,62,p,0.23,17.7,184.7,-85.5,-1.6
7,1094,2025-02-26 02:13:36,1740564816,72,p,0.67,16.2,201,-84,1.7
8,1095,2025-02-26 02:13:46,1740564826,82,p,1.08,11,119.4,-91.1,1.1
9,1096,2025-02-26 02:13:56,1740564836,92,p,1.06,9.6,117.1,-86.5,-0.1
10,1097,2025-02-26 02:14:06,1740564846,102,p,0.97,9,105.3,-92.2,2.1
11,1098,2025-02-26 02:14:16,1740564856,112,p,5.88,8.4,92.1,-98.7,40.9
12,1099,2025-02-26 02:14:25,1740564865,121,p,5.93,8.2,92.1,-105.2,18.4
13,1100,2025-02-26 02:14:35,1740564875,131,p,5.94,8,92.1,-105.2,18.4
14,1101,2025-02-26 02:14:45,1740564885,141,p,5.93,7.9,92.1,-105.2,18.4
15,1102,2025-02-26 02:14:55,1740564895,151,p,5.92,7.9,91.9,-105.6,17.5
16,1103,2025-02-26 02:15:05,1740564905,161,p,5.94,7.8,91.9,-105.6,17.5
17,1104,2025-02-26 02:15:15,1740564915,171,p,5.94,7.8,91.9,-105.6,17.5
18,1105,2025-02-26 02:15:25,1740564925,181,p,5.93,7.8,91.9,-105.6,17.5
19,1106,2025-02-26 02:15:35,1740564935,191,p,5.93,7.8,91.9,-105.6,17.5
20,1107,2025-02-26 02:15:45,1740564945,201,p,5.94,7.8,91.9,-105.6,17.5
21,1108,2025-02-26 02:15:55,1740564955,211,p,5.95,7.7,91.9,-105.6,17.5
22,1109,2025-02-26 02:16:05,1740564965,221,p,5.94,7.7,91.9,-105.6,17.5
23,1110,2025-02-26 02:16:15,1740564975,231,p,5.94,7.7,91.9,-105.6,17.5
24,1111,2025-02-26 02:16:25,1740564985,241,p,5.95,7.7,91.9,-105.6,17.5
25,1112,2025-02-26 02:16:35,1740564995,251,p,5.94,7.7,91.9,-105.6,17.5
26,1113,2025-02-26 02:16:45,1740565005,261,p,5.94,7.7,91.9,-105.6,17.5
27,1114,2025-02-26 02:16:55,1740565015,271,p,5.95,7.7,91.9,-105.6,17.5
28,1115,2025-02-26 02:17:05,1740565025,281,p,5.95,7.7,91.9,-105.6,17.5
29,1116,2025-02-26 02:17:15,1740565035,291,p,5.94,7.7,91.9,-105.6,17.5
30,1117,2025-02-26 02:17:25,1740565045,301,p,5.94,7.7,91.9,-105.6,17.5
31,1118,2025-02-26 02:17:35,1740565055,311,p,5.96,7.7,91.9,-105.6,17.5
