Number,Id,Datetime,Timestamp,Runtime,Type,Depth,Temperature,Heading,Roll,Pitch
1,2689,2025-04-01 02:01:34,1743498094,12,p,0.11,10.7,180,-86.7,0.1
2,2690,2025-04-01 02:01:44,1743498104,22,p,0.11,10.7,180,-86.7,0.1
3,2691,2025-04-01 02:01:54,1743498114,32,p,0.12,10.7,185.5,-95.6,-5.5
4,2692,2025-04-01 02:02:04,1743498124,42,p,0.87,10,140.1,-86.8,1.9
5,2693,2025-04-01 02:02:14,1743498134,52,p,2.18,9.3,115.3,-89.1,-0.7
6,2694,2025-04-01 02:02:24,1743498144,62,p,3.15,9,67.2,-92.9,1.1
7,2695,2025-04-01 02:02:34,1743498154,72,p,2.77,8.8,34.5,-91.3,-1.3
8,2696,2025-04-01 02:02:44,1743498164,82,p,2.59,8.8,13.1,-91.7,-0.8
9,2697,2025-04-01 02:02:54,1743498174,92,p,2.78,8.7,325.8,-88.7,-0.9
10,2698,2025-04-01 02:03:04,1743498184,102,p,2.86,8.7,217.9,-85.7,0.3
11,2699,2025-04-01 02:03:14,1743498194,112,p,4.81,8.7,239.1,-77.6,84.1
12,2700,2025-04-01 02:03:24,1743498204,122,p,4.87,8.7,247.1,-107.6,86.9
13,2701,2025-04-01 02:03:34,1743498214,132,p,4.88,8.7,247.1,-107.6,86.9
14,2702,2025-04-01 02:03:44,1743498224,142,p,4.88,8.7,247.1,-107.6,86.9
15,2703,2025-04-01 02:03:53,1743498233,151,p,4.88,8.7,247.1,-107.6,86.9
16,2704,2025-04-01 02:04:03,1743498243,161,p,4.88,8.7,247.1,-107.6,86.9
17,2705,2025-04-01 02:04:13,1743498253,171,p,4.88,8.7,247.4,-107.9,86.6
18,2706,2025-04-01 02:04:23,1743498263,181,p,4.88,8.7,247.4,-107.9,86.6
19,2707,2025-04-01 02:04:33,1743498273,191,p,4.87,8.7,247.4,-107.9,86.6
20,2708,2025-04-01 02:04:43,1743498283,201,p,4.86,8.7,247.4,-107.9,86.6
21,2709,2025-04-01 02:04:53,1743498293,211,p,4.86,8.7,247.4,-107.9,86.6
22,2710,2025-04-01 02:05:03,1743498303,221,p,4.86,8.7,247.4,-107.9,86.6
23,2711,2025-04-01 02:05:13,1743498313,231,p,4.86,8.7,247.4,-107.9,86.6
24,2712,2025-04-01 02:05:23,1743498323,241,p,4.85,8.7,247.4,-107.9,86.6
25,2713,2025-04-01 02:05:33,1743498333,251,p,4.85,8.7,247.4,-107.9,86.6
26,2714,2025-04-01 02:05:43,1743498343,261,p,4.86,8.7,247.6,-108.1,86.5
27,2715,2025-04-01 02:05:53,1743498353,271,p,4.85,8.7,247.6,-108.1,86.5
28,2716,2025-04-01 02:06:03,1743498363,281,p,4.85,8.7,247.6,-108.1,86.5
29,2717,2025-04-01 02:06:13,1743498373,291,p,4.85,8.7,247.6,-108.1,86.5
30,2718,2025-04-01 02:06:23,1743498383,301,p,4.85,8.7,247.6,-108.1,86.5
31,2719,2025-04-01 02:06:33,1743498393,311,p,4.86,8.7,247.6,-108.1,86.5
32,2720,2025-04-01 02:06:43,1743498403,321,p,4.86,8.7,247.6,-108.1,86.5
